8 6 6 .987 .013 .006
8 6 9 .957 .043 .021
8 6 10 .941 .059 .030
8 6 11 .919 .081 .041
8 6 12 .892 .108 .054
8 7 7 .991 .009 .005
8 7 8 .986 .014 .007
8 7 11 .960 .040 .020
8 7 12 .946 .054 .027
8 7 14 .906 .094 .047
8 7 15 .879 .121 .060
8 8 8 .993 .007 .004
8 8 9 .990 .010 .005
8 8 14 .950 .050 .025
8 8 15 .935 .065 .033
8 8 16 .917 .083 .042
8 8 17 .895 .105 .052
9 3 1  .991 .009 .005
9 3 2  .982 .018 .009
9 3 3  .964 .036 .018
9 3 4  .936 .064 .032
9 3 5  .900 .100 .050
9 4 2  .994 .006 .003
9 4 3  .989 .001 .006
9 4 5  .966 .034 .017
9 4 6  .950 .050 .025
9 4 7  .924 .076 .038
9 4 8 .894  .106 .053
9 5 4 .993 .007 .004
9 5 5 .988 .012 .006
9 5 8 .958 .042 .021
9 5 9 .940 .060 .030
9 5 10 .917 .083 .042
9 5 11 .888 .112 .056
9 6 6 .992 .008 .004
9 6 7 .988 .012 .006
9 6 11 .950 .050 .025
9 6 12 .934 .066 .033
9 6 13 .912 .088 .044
9 6 14 .887 .113 .057
9 7 8 .992 .008 .004
9 7 9 .988 .012 .006
9 7 13 .958 .042 .021
9 7 14 .945 .055 .027
9 7 16 .909 .091 .045
9 7 17 .886 .114 .057
9 8 10 .992 .008 .004
9 8 11 .989 .011 .006
9 8 16 .954 .046 .023
9 8 17 .941 .059 .030
9 8 19 .907 .093 .046
9 8 20 .886 .114 .057
9 9 12 .992 .008 .004
9 9 13 .989 .011 .005
9 9 18 .960 .040 .020
9 9 19 .950 .050 .025
9 9 22 .906 .094 .047
9 9 23 .887 .113 .057
10 3 1 .993 .007 .004
10 3 2 .986 .014 .007
10 3 4 .951 .049 .025
10 3 5 .923 .077 .039
10 3 6 .888 .112 .056
10 4 3 .992 .008 .004
10 4 4 .986 .014 .007
10 4 6 .964 .036 .018
10 4 7 .946 .054 .027
10 4 8 .924 .076 .038
10 4 9 .894 .106 .053
10 5 5 .992 .008 .004
10 5 6 .987 .013 .006
10 5 9 .960 .040 .020
10 5 10 .945 .055 .028
10 5 12 .901 .099 .050
10 5 13 .871 .129 .065
10 6 7 .993 .007 .004
10 6 8 .989 .011 .006
10 6 12 .958 .042 .021
10 6 13 .944 .056 .028
10 6 15 .907 .093 .047
10 6 16 .882 .118 .059
10 7 10 .990 .010 .005
10 7 11 .986 .014 .007
10 7 15 .957 .043 .022
10 7 16 .945 .055 .028
10 7 18 .912 .088 .044
10 7 19 .891 .109 .054
10 8 12 .991 .009 .004
10 8 13 .988 .012 .006
10 8 18 .957 .043 .022
10 8 19 .945 .055 .027
10 8 21 .917 .083 .042
10 8 22 .899 .101 .051
10 9 14 .992 .008 .004
10 9 15 .990 .010 .005
10 9 21 .957 .043 .022
10 9 22 .947 .053 .027
10 9 25 .905 .095 .047
10 9 26 .887 .113 .056
10 10 17 .991 .009 .005
10 10 18 .989 .011 .006
10 10 24 .957 .043 .022
10 10 25 .948 .052 .026
10 10 28 .911 .089 .045
10 10 29 .895 .105 .053
11 3 1 .995 .005 .003
11 3 2 .989 .011 .006
11 3 4 .962 .038 .019
11 3 5 .940 .060 .030
11 3 6 .912 .088 .044
11 3 7 .874 .126 .063
11 4 3 .994 .006 .003
11 4 4 .990 .010 .005
11 4 7 .960 .040 .020
11 4 8 .944 .056 .028
11 4 9 .922 .078 .039
11 4 10 .896 .104 .052
11 5 6 .991 .009 .004
11 5 7 .987 .013 .007
11 5 10 .962 .038 .019
11 5 11 .948 .052 .026
11 5 13 .910 .090 .045
11 5 14 .885 .115 .058
11 6 8 .993 .007 .004
11 6 9 .990 .010 .005
11 6 14 .952 .048 .024
11 6 15 .938 .062 .031
11 6 17 .902 .098 .049
11 6 18 .878 .122 .061
11 7 11 .992 .008 .004
11 7 12 .989 .011 .006
11 7 17 .956 .044 .022
11 7 18 .944 .056 .028
11 7 20 .915 .085 .043
11 7 21 .896 .104 .052
11 8 14 .991 .009 .005
11 8 15 .988 .012 .006
11 8 20 .959 .041 .020
11 8 21 .949 .051 .025
11 8 24 .909 .091 .045
11 8 25 .891 .109 .054
11 9 17 .990 .010 .005
11 9 18 .988 .012 .006
11 9 24 .954 .046 .023
11 9 25 .944 .056 .028
11 9 28 .905 .095 .048
11 9 29 .888 .112 .056
11 10 19 .992 .008 .004
11 10 20 .990 .010 .005
11 10 27 .957 .043 .022
11 10 28 .949 .051 .026
11 10 32 .901 .099 .049
11 10 33 .886 .114 .057
11 11 22 .992 .008 .004
11 11 23 .989 .011 .005
11 11 31 .953 .047 .024
11 11 32 .944 .056 .028
11 11 35 .912 .088 .044
11 11 36 .899 .101 .051 
